Date,Temperature,Precipitation,Sunshine,Wind
2019/4/1,24.9,24.2,16.0,4.517
2019/4/2,25.0,14.2,15.97,3.538
2019/4/3,26.3,30.5,17.46,3.767
2019/4/4,24.9,24.2,21.53,3.863
2019/4/5,27.4,18.5,17.03,3.288
2019/4/6,26.4,0,23.57,6.025
2019/4/7,25.9,18.3,14.46,3.313
2019/4/8,26.1,0,15.37,4.929
2019/4/9,25.4,46.7,15.4,4.342
2019/4/10,25.3,37.3,21.69,3.988
2019/4/11,25.4,17.0,17.24,3.383
2019/4/12,25.9,37.0,24.1,6.025
2019/4/13,28.8,15.0,14.38,4.088
2019/4/14,24.6,13.8,16.44,3.342
2019/4/15,25.2,24.0,23.38,3.313
2019/4/16,26.5,22.0,15.26,3.354
2019/4/17,24.7,0,20.15,3.308
2019/4/18,27.0,39.5,19.48,4.842
2019/4/19,24.6,21.6,21.82,5.075
2019/4/20,24.7,22.7,19.36,4.888
2019/4/21,25.1,62.7,14.71,4.192
2019/4/22,27.4,0,15.68,4.154
2019/4/23,25.6,0,21.57,4.067
2019/4/24,26.9,35.2,17.98,3.863
2019/4/25,25.4,29.0,18.06,3.538
2019/4/26,25.2,52.3,21.66,4.213
2019/4/27,25.8,14.0,20.12,4.092
2019/4/28,25.0,0,18.53,4.071
2019/4/29,24.9,0,22.94,3.421
2019/4/30,25.4,0,17.37,3.608
2019/5/1,21.4,0.5,0.17,1.433
2019/5/2,21.9,0,5.87,1.308
2019/5/3,18.8,0.1,6.58,1.517
2019/5/4,23.6,1.4,5.52,1.054
2019/5/5,22.8,0,2.9,1.088
2019/5/6,20.8,0.1,2.99,1.254
2019/5/7,21.3,0.5,5.33,1.513
2019/5/8,22.3,0,6.59,1.075
2019/5/9,22.7,1.3,7.27,0.629
2019/5/10,22.3,0,5.55,1.388
2019/5/11,22.4,0.5,3.99,1.371
2019/5/12,18.0,0,2.0,1.042
2019/5/13,17.4,1.5,6.01,1.042
2019/5/14,23.7,0.2,7.33,1.167
2019/5/15,24.1,1.0,4.86,1.367
2019/5/16,20.0,0,5.44,1.446
2019/5/17,22.7,0.4,6.88,1.333
2019/5/18,21.9,0.4,0.63,1.438
2019/5/19,22.3,0,0.38,1.275
2019/5/20,19.7,1.3,3.8,1.163
2019/5/21,22.9,0,3.69,1.3
2019/5/22,21.3,0.5,6.84,1.508
2019/5/23,23.4,0,2.92,1.471
2019/5/24,22.9,0,0.01,1.046
2019/5/25,23.9,0,2.73,0.904
2019/5/26,21.5,0.3,5.83,1.467
2019/5/27,24.3,1.0,1.75,1.108
2019/5/28,23.9,0.8,2.71,1.167
2019/5/29,24.1,0,4.27,1.408
2019/5/30,22.9,1.5,4.53,1.313
2019/5/31,21.5,1.0,2.76,1.346
2019/6/1,24.3,0.8,4.67,1.279
2019/6/2,26.1,0.2,1.69,1.246
2019/6/3,22.9,0.3,2.89,0.804
2019/6/4,24.4,0,7.23,1.146
2019/6/5,24.9,0.2,3.19,1.263
2019/6/6,25.7,0.2,2.68,1.146
2019/6/7,22.5,0,1.52,1.071
2019/6/8,23.6,0,3.0,1.088
2019/6/9,26.0,0,4.65,0.921
2019/6/10,22.9,0,2.14,0.675
2019/6/11,25.1,0.2,4.16,1.146
2019/6/12,22.1,0.2,1.89,1.121
2019/6/13,24.7,0,0.35,1.121
2019/6/14,24.6,0.6,0.37,1.183
2019/6/15,25.5,0.5,2.89,1.104
2019/6/16,25.1,0,7.54,0.771
2019/6/17,25.0,0.3,2.66,1.0
2019/6/18,24.2,0.3,2.68,1.067
2019/6/19,25.1,0,2.37,0.871
2019/6/20,25.4,0.7,1.88,0.633
2019/6/21,25.1,0,7.54,1.258
2019/6/22,24.7,0,0.35,1.233
2019/6/23,22.9,0,3.09,1.283
2019/6/24,21.6,0.1,4.74,1.233
2019/6/25,25.0,0.5,3.1,1.013
2019/6/26,22.8,0,2.52,1.038
2019/6/27,26.3,0,6.61,1.225
2019/6/28,23.8,0.2,4.31,1.271
2019/6/29,24.0,0,0.8,1.279
2019/6/30,23.3,0.5,5.5,1.258
