¤p¥Õµæ(®L©u),T1,T2,T3,T4,Pmax(mm/day),Pmin,Smax,Smin,Wmax(m/s),Wmin
1,4,20,25,40,350,0,24,0,5.5,0
2,4,20,25,40,350,0,24,0,5.5,0
3,4,20,25,40,350,0,24,0,5.5,0
4,10,20,25,40,350,0,24,0,5.5,0
5,10,20,25,40,350,0,24,0,5.5,0
6,10,20,25,40,350,0,24,0,5.5,0
7,10,20,25,40,350,0,24,0,5.5,0
8,10,20,25,40,350,0,24,0,5.5,0
9,10,20,25,40,350,0,24,0,5.5,0
10,10,20,25,40,350,0,24,0,5.5,0
11,10,20,25,40,350,0,24,0,5.5,0
12,10,20,25,40,350,0,24,0,5.5,0
13,10,20,25,40,350,0,24,0,5.5,0
14,10,20,25,40,350,0,24,0,5.5,0
15,10,20,25,40,350,0,24,0,5.5,0
16,10,20,25,40,350,0,24,0,5.5,0
17,10,20,25,40,350,0,24,0,5.5,0
18,10,20,25,40,350,0,24,0,5.5,0
19,10,20,25,40,350,0,24,0,5.5,0
20,10,20,25,40,350,0,24,0,5.5,0
21,10,20,25,40,350,0,24,0,5.5,0
22,10,20,25,40,350,0,24,0,5.5,0
23,10,20,25,40,350,0,24,0,5.5,0
24,10,20,25,40,350,0,24,0,5.5,0
25,10,20,25,40,350,0,24,0,5.5,0
26,10,20,25,40,350,0,24,0,5.5,0
27,10,20,25,40,350,0,24,0,5.5,0
28,10,20,25,40,350,0,24,0,5.5,0
29,10,20,25,40,350,0,24,0,5.5,0
30,10,20,25,40,350,0,24,0,5.5,0
