ªãÂÅ,T1,T2,T3,T4,Pmax(mm/day),Pmin,Smax,Smin,Wmax(m/s),Wmin
1,10,20,25,30,300,0,24,0,5.5,0
2,10,20,25,30,300,0,24,0,5.5,0
3,10,20,25,30,300,0,24,0,5.5,0
4,10,18,25,30,300,0,24,0,5.5,0
5,10,18,25,30,300,0,24,0,5.5,0
6,10,18,25,30,300,0,24,0,5.5,0
7,10,18,25,30,300,0,24,0,5.5,0
8,10,18,25,30,300,0,24,0,5.5,0
9,10,18,25,30,300,0,24,0,5.5,0
10,10,18,25,30,300,0,24,0,5.5,0
11,10,18,25,30,300,0,24,0,5.5,0
12,10,18,25,30,300,0,24,0,5.5,0
13,10,18,25,30,300,0,24,0,5.5,0
14,10,18,25,30,300,0,24,0,5.5,0
15,10,18,25,30,300,0,24,0,5.5,0
16,10,18,25,30,300,0,24,0,5.5,0
17,10,18,25,30,300,0,24,0,5.5,0
18,10,18,25,30,300,0,24,0,5.5,0
19,10,18,25,30,300,0,24,0,5.5,0
20,10,18,25,30,300,0,24,0,5.5,0
21,10,18,25,30,300,0,24,0,5.5,0
22,10,18,25,30,300,0,24,0,5.5,0
23,10,18,25,30,300,0,24,0,5.5,0
24,10,18,25,30,300,0,24,0,5.5,0
25,10,18,25,30,300,0,24,0,5.5,0
26,10,18,25,30,300,0,24,0,5.5,0
27,10,18,25,30,300,0,24,0,5.5,0
28,10,18,25,30,300,0,24,0,5.5,0
29,10,18,25,30,300,0,24,0,5.5,0
30,10,18,25,30,300,0,24,0,5.5,0
31,10,18,25,30,300,0,24,0,5.5,0
32,10,18,25,30,300,0,24,0,5.5,0
33,10,18,25,30,300,0,24,0,5.5,0
34,10,18,25,30,300,0,24,0,5.5,0
35,10,18,25,30,300,0,24,0,5.5,0
36,10,18,25,30,300,0,24,0,5.5,0
37,10,18,25,30,300,0,24,0,5.5,0
38,10,18,25,30,300,0,24,0,5.5,0
39,10,18,25,30,300,0,24,0,5.5,0
40,10,18,25,30,300,0,24,0,5.5,0
41,10,18,25,30,300,0,24,0,5.5,0
42,10,18,25,30,300,0,24,0,5.5,0
43,10,18,25,30,300,0,24,0,5.5,0
44,10,18,25,30,300,0,24,0,5.5,0
45,10,18,25,30,300,0,24,0,5.5,0
46,10,18,25,30,300,0,24,0,5.5,0
47,10,18,25,30,300,0,24,0,5.5,0
48,10,18,25,30,300,0,24,0,5.5,0
49,10,18,25,30,300,0,24,0,5.5,0
50,10,18,25,30,300,0,24,0,5.5,0
