Date,T1,T2,T3,T4,Pmax(mm/day),Pmin,Smax,Smin,Wmax(m/s),Wmin
1,4,18,22,25,200,0,14,0,4,0
2,4,18,22,25,200,0,14,0,4,0
3,4,18,22,25,200,0,14,0,4,0
4,4,18,22,25,200,0,14,0,4,0
5,4,20,22,28,200,0,14,0,4,0
6,4,20,22,28,200,0,14,0,4,0
7,4,20,22,28,200,0,14,0,4,0
8,4,20,22,28,200,0,14,0,4,0
9,4,20,22,28,200,0,14,0,4,0
10,4,20,22,28,200,0,14,0,4,0
11,4,20,22,28,200,0,14,0,4,0
12,4,20,22,28,200,0,14,0,4,0
13,4,20,22,28,200,0,14,0,4,0
14,4,20,22,28,200,0,14,0,4,0
15,4,20,22,28,200,0,14,0,4,0
16,4,20,22,28,200,0,14,0,4,0
17,4,20,22,28,200,0,14,0,4,0
18,4,20,22,28,200,0,14,0,4,0
19,4,20,22,28,200,0,14,0,4,0
20,4,20,22,28,200,0,14,0,4,0
21,4,20,22,28,200,0,14,0,4,0
22,4,20,22,28,200,0,14,0,4,0
23,4,20,22,28,200,0,14,0,4,0
24,4,20,22,28,200,0,14,0,4,0
25,4,20,22,28,200,0,14,0,4,0
26,4,20,22,28,200,0,14,0,4,0
27,4,20,22,28,200,0,14,0,4,0
28,4,20,22,28,200,0,14,0,4,0
29,4,20,22,28,200,0,14,0,4,0
30,4,20,22,28,200,0,14,0,4,0
31,4,20,22,28,200,0,14,0,4,0
32,4,20,22,28,200,0,14,0,4,0
33,4,20,22,28,200,0,14,0,4,0
34,4,20,22,28,200,0,14,0,4,0
35,4,20,22,28,200,0,14,0,4,0
36,4,20,22,28,200,0,14,0,4,0
37,4,20,22,28,200,0,14,0,4,0
38,4,20,22,28,200,0,14,0,4,0
39,4,20,22,28,200,0,14,0,4,0
40,4,20,22,28,200,0,14,0,4,0
41,4,20,22,28,200,0,14,0,4,0
42,4,20,22,28,200,0,14,0,4,0
43,4,20,22,28,200,0,14,0,4,0
44,4,20,22,28,200,0,14,0,4,0
45,4,20,22,28,200,0,14,0,4,0
46,4,20,22,28,200,0,14,0,4,0
47,4,20,22,28,200,0,14,0,4,0
48,4,20,22,28,200,0,14,0,4,0
49,4,20,22,28,200,0,14,0,4,0
50,4,20,22,28,200,0,14,0,4,0
51,4,20,22,28,200,0,14,0,4,0
52,4,20,22,28,200,0,14,0,4,0
53,4,20,22,28,200,0,14,0,4,0
54,4,20,22,28,200,0,14,0,4,0
55,4,20,22,28,200,0,14,0,4,0
56,4,20,22,28,200,0,14,0,4,0
57,4,20,22,28,200,0,14,0,4,0
58,4,20,22,28,200,0,14,0,4,0
59,4,20,22,28,200,0,14,0,4,0
60,4,20,22,28,200,0,14,0,4,0
