Date,T1,T2,T3,T4,Pmax(mm/day),Pmin,Smax,Smin,Wmax(m/s),Wmin,空氣濕度1,空氣濕度2,土壤濕度1,土壤濕度2
1,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
2,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
3,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
4,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
5,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
6,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
7,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
8,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
9,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
10,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
11,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
12,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
13,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
14,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
15,35,20,15,4,350,0,24,13,5.5,0,0.9,0.8,0.8,0.7
16,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
17,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
18,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
19,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
20,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
21,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
22,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
23,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
24,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
25,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
26,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
27,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
28,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
29,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
30,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
31,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
32,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
33,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
34,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
35,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
36,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
37,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
38,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
39,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
40,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
41,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
42,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
43,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
44,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
45,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
46,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
47,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
48,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
49,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
50,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
51,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
52,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
53,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
54,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
55,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
56,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
57,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
58,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
59,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
60,25,20,15,0,350,0,13,0,5.5,0,0.9,0.8,0.8,0.7
